username,date,content,votes
@CibobasMotor2,4 months ago,"Akibat tidak ada ketegasan dari pemimpin negri konoha sehingga oligarki, koruptor semakin numbuh subur...",36
@lusiawidya9627,4 months ago (edited),Tesso Nilo bukan hanya hutan—itu masa depan. Tesso  Nillo harus dilindungi. Pemerintah dan pejabat harus punya hati: jaga alamnya.,16
@QueensahauliaRamadhani-d5b,4 months ago (edited),"Bantu up Media jangan bungkam,, bantu mereka yang berjuang demi kelestarian alam.",29
@PanindoJaya,4 months ago,"Akibat pembiaran makanya sudah susah mau di gusur..
Harus ada tindakan tegas dari Pemda setempat.",16
@ignacia84,4 months ago (edited),gila sedih bgt lihat gajahnya mati...sumatra kapan mw belajar...bencana alam di sana disebabkan karena alam dihancurkan...Kementerian Agraria / BKN mana tanggung jawab kalian!!!,20
@familyofmamarazanadine7873,4 months ago,"Terimakasih kompascom sudah bantu up isu TNTS, para satwa liar (terutama gajah & harimau), serta sengketa mereka dengan sebagian masyarakat. Mohon kedepannya kompascom bisa lebih mewakilkan suara masyarakat yang perduli alam dan lingkungan.👏🏻❤️",1
@atiekrumantiningsih,4 months ago,"Ayo kita jangan berhenti untuk tetep melestarikan hutan yg hijau asri lebat, ekosistemnya, satwa2nya💪.. Itu kekayaan negara dari jaman dulu, jangan dimusnahkan. Kasihan hewan2, pohon2 rindang pada musnah. Lama lama Kita nggak akan punya lagi hutan hutan yg lebat asri hijau dan ekosistemnya😢😢😢😢. SEDIH",2
@bangelbamz6023,4 months ago,Ayo Pak Presiden @Prabowo @Gerindra.. sudah waktunya negara ini Taubatan nasuha untuk TIDAK lagi membabat2 hutan2.. apalagi disiyu ada spesies langkah yg harus di lestarikan juga.. sebelum Alam marah pada negara ini...,9
@ZainiZaini-lx9qb,4 months ago,jagalah lingkungan.biyar gajah terlindugi.alam kita indah udara seger lindugi hutan kita sendiri.salam merdekaa untuk indonesia.kita.,0
@ipecesss99,4 months ago,Hutan² di Indonesia sekarang semakin menipis 😢,14
@Alan-BlackWhitemd6gn,4 months ago,Domang dan keluarga sungguh Gaja yang yang lucu 😢😢❤❤❤,0
@bonklalamongan,4 months ago,Dulu kami bangga hutan kami luas dengan beranekaragam satwa liar.. kini cuma cerita,5
@MelatiMelati-l2q,4 months ago,Pemerintah harus bertindak tegas.TNI polri harus di terjunkan untuk menjaga hutan lindung nasional ini.Sambil di carikan solusi untuk masa depan warga ini di area yang di izinkan mereka bisa di pekerjakan untuk proyek  pembongkaran sawit dan reboisasi kembali.,2
@hanamardhiyahrahayu6080,4 months ago,Terimakasih sudah membantu bersuara 😭😭,0
@punyacerita-g6i,4 months ago,"Kembalikan Tesso  Nilo  jadi Rumah Domang dan gajah serta satwa lainnya. Musnahkan ladang sawit yang menggerus Tesso Nilo. Tegakkan hukum, mereka tidak berhak membangun ladang sawit di Rumah Domang",7
@YoshaDewi-Riandra98,4 months ago,"Alam akan Memberi pelajaran Bagi keserakahan Manusia .. 
Alam tidak Akan pernah Diam dan Hukum nya Mutlak ..",2
@SumberLancar-r7z,4 months ago,Negara harus tegas.... perambahan hutan itu karena ada aparatur yang korup....namun negara harus berani untuk membersihkan para koruptor dan mengembalikan fungsi hutan sesuai Undang2,1
@EmranSyahrir,4 months ago,❤Kui Asline Bupati Gunernure Sudah Mengerti..Cuma Milih Duit saja,1
@UliTio,4 months ago,"Giliran terjadi bencana barulah para rakyat Konoha sadar bahwa hutan itu penting bagi kehidupan , bilang pemerintah kejamlah karena mengambil alih kebun sawit untuk dikembalikan ke fungsi hutan , yg tersenyum ya bos pengusaha nya karena masyarakat sekitar dijadikan tameng buat melawan pemerintah , paham kalian semua ?",1
@madeduarjana2244,4 months ago,Wiw gajah juga ikut unjuk rasa !,1
@m.hadiyatno9345,4 months ago,"Bukan tentang kelestarian alam itu
Warna masing2 mencaplok lahan yang udah diratakan perusahaan buat tanam sawit
Warga sana sendiri gak perduli satwa
Yg penting ada lahan buat jadi kebun sawit",2
@pujiharjono32,4 months ago,Bukan saja yg di kembalikan  Gajah ke habitatya tap hutanya  yg di rambah Harus di kembalikan ke asliya . Tidak ada ter ucap dan berani mengatakan musnahkan lahan klapa sawit  kembalikan fungsi  ke hutan lindung bagi marga satwa,3
@deyensondeyenson1575,4 months ago,Bukan menipis tetapi habis ini mau incar Papua Kalimantan SDH habis,0
@nurcholis4312,4 months ago,Tinggal tunggu bencana alam datang,0
